Prerequisite_1_grade,Face_to_Face,Course,Blended,Faculty,Availability,Int_Fees,Online,Local_Fees,Part_Time,Prerequisite_2_grade,Full_Time,Duration_Time,Remarks,Website,City,Prerequisite_1,Level_Code,Course_Lang,Distance,Currency,Description,Offline,Currency_Time,Prerequisite_2,Duration,University,Career_Outcomes,Prerequisite_3,Country,Prerequisite_3_grade
6.5,yes,Graduate Certificate in Commerce,no,Business & Commerce & Finance & Accounting,A,,yes,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-commerce,Perth,IELTS,PG,English,no,AUD,"The Graduate Certificate in Commerce comprises four units in accounting, economics, management and marketing. This is a standalone qualification, and can also serve as an entry point into the Master of Commerce. This course is ideal for graduates who do not hold an undergraduate degree in business.",yes,year,,6,Australian Catholic University,Business Administration Manager / Finance Manager / Retail Manager / General Manager,,Australia,
6.5,yes,Master of Marketing,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-marketing,Perth,IELTS,PG,English,no,AUD,"Marketing has a central role in understanding what different types of people in different places across the globe want. Equally practical and theoretical, our marketing teachers are researchers who help you understand the role of marketing, through curiosity, creativity, analysis, evidence and innovation. Our Master's covers the cutting edge topics you need to work as a marketing manager, from digital to analytics.

The Master of Marketing is suitable for both professionals working in the marketing field and related areas, as well as those wishing to move into the field.",yes,year,,1.5,Australian Catholic University,Academic / Advertising Professional / Advertising and Public Relations Manager / Copywriter,,Australia,
6.5,yes,Graduate Diploma in Natural Resources Law,no,Tourism and Hotel Management,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-natural-resources-law,Perth,IELTS,PG,English,no,AUD,"Gain expertise to pursue careers in the mining and energy industries and natural resources more generally by gaining a strong understanding of their regulatory and commercial context. Apart from mining and oil and gas law this includes corporate governance, environmental laws, climate change, human rights, commercial agreements and construction contracts.",yes,year,,6,Australian Catholic University,Lawyer / Policy Analyst / Policy and Planning Manager,,Australia,
6.5,yes,"Higher Degree by Research Preliminary - Engineering, Computing and Mathematics",no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary--engineering-computing-and-mathematics,Perth,IELTS,BA,English,no,AUD,"In accordance with University policy, you may have to complete an approved preliminary course of study tailored to your requirements to ensure adequate research preparation to satisfy the eligibility requirements for the Master of Philosophy (MPhil) or Doctor of Philosophy (PhD).",yes,year,,1,Australian Catholic University,Academic / Chemical Engineer / Developer Programmer / Electrical Engineer,,Australia,
6.5,yes,Graduate Certificate in Social Research Methods,no,Humanities and Social Science,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-social-research-methods,Perth,IELTS,PG,English,no,AUD,"Skilful social researchers are in high demand around the world as we seek to understand why people think and act the way they do, and how to improve peoples’ lives. Applications include identifying and understanding peoples’ attitudes and behaviours in relation to: inequality; education; consumption; immigration; social media; crime; environmental protection; healthy behaviours; the impact of a new industry; the effectiveness of a new policy or program; and more.",yes,year,,6,Australian Catholic University,"Analyst / Anthropologist / Chief Information Officer / Contract, Program and Project Administrators",,Australia,
6.5,yes,Master of Music International Pedagogy - Coursework and Dissertation,no,Law,A,,yes,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-music-international-pedagogy---coursework-and-dissertation,Perth,IELTS,SHORT COURSES,English,no,AUD,"The Master of Music International Pedagogy provides the skills for teachers to become exceptional conductors of choirs, orchestras and bands, and understand the way in which students of the twenty-first century learn.",yes,year,,2,Australian Catholic University,Music Professional / Music Teacher / Musician,,Australia,
6.5,yes,Master of Business Analytics,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-business-analytics,Perth,IELTS,PG,English,no,AUD,"Today’s businesses have an increasing need to make sense of the large quantities of structured and unstructured data that are generated. Understanding how to integrate large and complex data sets, and transform data into meaningful insights and actions, is vital for business success.",yes,year,,1.5,Australian Catholic University,Analyst / Chief Information Officer / Intelligence Analyst / Network Analyst,,Australia,
6.5,yes,Master of Ocean Leadership,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-ocean-leadership,Perth,IELTS,PG,English,no,AUD,"Learn about the issues facing our oceans through a multidisciplinary course, bringing together knowledge from science, engineering, law and environmental management.",yes,year,,1.5,Australian Catholic University,Analyst / Conservation Officer / Conservationist / Econometrician,,Australia,
6.5,yes,Graduate Diploma in Law,no,Law,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-law,Perth,IELTS,PG,English,no,AUD,This course is available to graduates with a recognised law degree who wish to pursue advanced or further study in law.,yes,year,,6,Australian Catholic University,Policy Analyst / Government Agencies Researcher,,Australia,
6.5,no,Graduate Certificate in the Diagnosis and Assessment of Fetal Alcohol Spectrum Disorders (FASD),no,Science and Health Science,A,,yes,,yes,,no,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-the-diagnosis-and-assessment-of-fetal-alcohol-spectrum-disorders-fasd,Perth,IELTS,PG,English,no,AUD,"This online course will provide graduates trained in psychology, speech pathology, social work, occupational therapy, medicine (including paediatrics and psychiatry) with further specialised knowledge of Fetal Alcohol Spectrum Disorders (FASD), including features of FASD and how to diagnose and assess for FASD.",no,year,,6,Australian Catholic University,Research and Development Manager / Health Diagnostic and Promotion Professional / Health Promotion Officer / Health Researcher,,Australia,
6.5,no,Graduate Certificate in Business Psychology,no,Business & Commerce & Finance & Accounting,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-business-psychology,Perth,IELTS,PG,English,no,AUD,"The Graduate Certificate in Business Psychology will develop your understanding and skills to apply psychological knowledge to create better workplaces. Learn to optimise team member motivation and performance in regard to productivity, reliability, safety and well being. The course is taught by a team of experts in various aspects of workplace psychology, who have many years of experience in industry and research, and a passion for sharing their knowledge.",no,year,,1,Australian Catholic University,Business Administration Manager / Workplace Relations Adviser / Human Resource Professional / Research Officer,,Australia,
6.5,yes,Master of Studies,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-studies,Perth,IELTS,PG,English,no,AUD,"This course is designed for graduates who have interdisciplinary personal, academic and/or professional interests and who want to pursue those interests through postgraduate study.",yes,year,,1.5,Australian Catholic University,Academic / Anthropologist / Arts Professional / Biochemist/ Molecular Biologist,,Australia,
6.5,yes,Juris Doctor (JD),no,Law,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/juris-doctor,Perth,IELTS,DPG,English,no,AUD,"A successful career in a demanding profession requires comprehensive training. The Juris Doctor gives you the knowledge and skills necessary to become the lawyer you want to be and a lawyer the world needs. You'll enter the competitive graduate market with an edge, with a prestigious qualification offered by institutions such as Harvard, Yale and Columbia universities.",yes,year,,3,Australian Catholic University,"Lawyer / Conservation Officer / Contract, Program and Project Administrators / Corporate General Manager",,Australia,
6.5,yes,Master of Laws,no,Law,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-laws,Perth,IELTS,PG,English,no,AUD,"This course is designed to equip practicing lawyers and law graduates with an advanced understanding of the law to meet the challenges of the dynamic workplace. You'll learn from world-class professors at a Top 100 university and study with the next generation of leaders in legal practice, government, business and the not-for-profit sector.",yes,year,,1,Australian Catholic University,Lawyer / Academic,,Australia,
6.5,yes,Higher Degree by Research Preliminary - Law,no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary---law,Perth,IELTS,BA,English,no,AUD,"A faculty or the Board of the Graduate Research School may require students who have applied to undertake a higher degree by research course to complete a preliminary course to ensure that they possess the necessary knowledge and research skills to complete the proposed course successfully, in the context of maintaining the University's reputation as a university of the highest international standing.",yes,year,,1,Australian Catholic University,Lawyer / Academic,,Australia,
6.5,yes,Master of Landscape Architecture,no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-landscape-architecture,Perth,IELTS,PG,English,no,AUD,Study at the only university in the state with an accredited Landscape Architecture program. Become a critical thinker with rigorous skills in the pragmatic and theoretical art of landscape design and manipulation. ,yes,year,,2,Australian Catholic University,Environmental Consultant / Environmental Manager / Urban Designer / Landscape Architect,,Australia,
6.5,yes,Graduate Certificate in Health Professions Education,no,English,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-health-professions-education,Perth,IELTS,PG,English,no,AUD,Participants in this course are offered a range of options specific to health professionals from the Faculty of Health and Medical Sciences.,yes,year,,1,Australian Catholic University,Academic / Disease Prevention Educator / Training and Development Professional,,Australia,
6.5,yes,"Higher Degree by Research Preliminary - Architecture, Landscape and Visual Arts",no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary--architecture-landscape-and-visual-arts,Perth,IELTS,BA,English,no,AUD,"A faculty or the Board of the Graduate Research School may require students who have applied to undertake a higher degree by research course to complete a preliminary course to ensure that they possess the necessary knowledge and research skills to complete the proposed course successfully, in the context of maintaining the University's reputation as a university of the highest international standing.",yes,year,,1,Australian Catholic University,Architect / Arts Administrator or Manager / Arts Professional / Landscape Architect,,Australia,
6.5,yes,Master of Biotechnology,no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-biotechnology,Perth,IELTS,PG,English,no,AUD,"Using world-leading research staff, business experts and mentors in biotechnology companies, you're provided with the fundamental academic and business skills needed to make a significant contribution to the biotechnology sector. You can specialise in either AQUAtech, Biochemistry and Molecular Biology, Environmental and Agricultural Biotechnology or Genetics and Genomics.",yes,year,,2,Australian Catholic University,Academic / Agricultural Consultant / Agricultural Scientist / Biochemist/ Molecular Biologist,,Australia,
6.5,yes,Master of Dental Public & Primary Health,no,English,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-dental-public--primary-health,Perth,IELTS,PG,English,no,AUD,"This program fosters the development of critical analysis and research competence, along with the advanced set of knowledge and skills in dental public health that is required by those seeking to specialise in this field.",yes,year,,2,Australian Catholic University,Dentist,,Australia,
6.5,yes,Higher Degree by Research Preliminary - Science,no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary---science,Perth,IELTS,BA,English,no,AUD,"This course provides the skills and knowledge required to complement the student's previous studies. On satisfactory completion, students may be able to undertake independent research for a higher degree.",yes,year,,1,Australian Catholic University,Academic / University Lecturer,,Australia,
6.5,yes,Graduate Certificate in Health Leadership and Management,no,English,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-health-leadership-and-management,Perth,IELTS,PG,English,no,AUD,,yes,year,,1,Australian Catholic University,Health Researcher / Medical Administrator / Program or Project Manager,,Australia,
6.5,yes,Graduate Diploma in Clinical Neuropsychology,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-clinical-neuropsychology,Perth,IELTS,PG,English,no,AUD,"The Graduate Diploma in Clinical Neuropsychology serves as a bridging degree to allow individuals who are qualified as Clinical Psychologists, with the Psychology Board of Australia and have completed at least a master's degree or equivalent in Clinical Psychology, to up skill in Clinical Neuropsychology, allowing them eligibility for endorsement as a Clinical Neuropsychologist with AHPRA.",yes,year,,2,Australian Catholic University,Psychologist / Health Diagnostic and Promotion Professional / Health Promotion Officer / Health Researcher,,Australia,
6.5,yes,Master of Legal Practice,no,Law,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-legal-practice,Perth,IELTS,PG,English,no,AUD,"By studying a Master of Legal Practice, you will be eligible to practise in WA. You’ll learn from world-class professors at a top 100 university and study with the next generation of leaders in legal practice, government, business and the not-for-profit sector. Graduates of this program can apply for admission to legal practice in Western Australia. Requirements for study may be set by the Legal Practice Board.",yes,year,,2,Australian Catholic University,Lawyer / Legal Adviser,,Australia,
6.5,yes,Graduate Certificate in Business,no,Business & Commerce & Finance & Accounting,A,,yes,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-business,Perth,IELTS,PG,English,no,AUD,"The Graduate Certificate in Business comprises postgraduate courses in economics, marketing, organisation behaviour and accounting.",yes,year,,8,Australian Catholic University,Account Manager / Business Administration Manager / Finance Manager / General Manager,,Australia,
6.5,yes,Graduate Diploma in School Psychology,no,Science and Health Science,A,,no,,no,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-school-psychology,Perth,IELTS,PG,English,no,AUD,The minimum prerequisite for this course is a four-year degree in psychology. Applicants must have completed an approved course of study in psychology and be eligible for registration as a psychologist. The psychology qualification must be no more than 9 years old.,yes,year,,1,Australian Catholic University,School Psychologist,,Australia,
6.5,yes,Master of Building Information Modelling,no,Computer Science & Information Technology,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-building-information-modelling,Perth,IELTS,PG,English,no,AUD,"BIM is a new paradigm in construction. Today, the industry uses 3D models as the basis of a building inception, design, construction management and facilities management. The mastery of BIM puts you at the forefront of the construction industry, allowing you to have a direct impact on the quality of our built environment. It will allow you to become a decision-maker rather than simply a team member.
",yes,year,,1,Australian Catholic University,Urban Designer / Architect / Engineer / Environmental Engineer,,Australia,
6.5,yes,Graduate Diploma in Advanced Social Work,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-advanced-social-work,Perth,IELTS,PG,English,no,AUD,This course is open to social work graduates with a minimum of two years' experience as a professional social worker.,yes,year,,1,Australian Catholic University,Social Worker,,Australia,
6.5,yes,Graduate Diploma in International Relations,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-international-relations,Perth,IELTS,PG,English,no,AUD,A professionally oriented course for graduates and practitioners seeking expertise in international relations. ,yes,year,,1,Australian Catholic University,Journalist / Foreign Affairs and Trade Officer / Intelligence Analyst / Parliamentarian,,Australia,
6.5,yes,Higher Degree by Research Preliminary - Medicine and Health Science,no,English,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary-medicine-and-health-science,Perth,IELTS,BA,English,no,AUD,"This course is for students who wish to undertake a higher degree by research but who are not considered to have adequate research preparation. The preliminary course of study is designed on a case-by-case basis with the student. Students need a mark for their Higher Degree by Research Prelim research output of at least: 
• 65% to meet the adequate research preparation for the HDR research Masters 
• 70% to meet the adequate research preparation for a PhD
Students also need to meet all the other admission requirements in order to progress to a higher degree by research.
All students interested in the higher degree by research preliminary course must contact the Faculty before applying.",yes,year,,1,Australian Catholic University,Journalist / Foreign Affairs and Trade Officer / Intelligence Analyst / Parliamentarian,,Australia,
6.5,yes,Graduate Diploma in Commerce (Chartered Accounting),no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-commerce-chartered-accounting,Perth,IELTS,PG,English,no,AUD,"The Graduate Diploma in Commerce (Chartered Accounting) provides training in the technical aspects of the preparation of accounting data, develops your skills in the application of accounting information to solve problems and make decisions, and develops the important professional skills such as communication, working in teams and critical thinking.",yes,year,,1,Australian Catholic University,Accountant,,Australia,
6.5,yes,Master of Professional Engineering Preliminary,no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-professional-engineering-preliminary,Perth,IELTS,PG,English,no,AUD,This course is designed to enable you to move into the professionally accredited Master of Professional Engineering on completion if you have a bachelor's degree in a non-engineering area of study (e.g. a Bachelor of Science).,yes,year,,1.5,Australian Catholic University,Academic / Chemical Engineer / Civil Engineer / Electrical Engineer,,Australia,
6.5,yes,Graduate Diploma in Insurance Law,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-insurance-law,Perth,IELTS,PG,English,no,AUD,This course is available to graduates with a recognised law degree who wish to pursue advanced or further study in law.,yes,year,,18,Australian Catholic University,Insurance Broker / Lawyer / Policy and Planning Manager / Actuary,,Australia,
6.5,yes,Graduate Diploma in Asian Studies,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-asian-studies,Perth,IELTS,PG,English,no,AUD,"This course will give you the skills and knowledge crucial to understanding and engaging with the Asian region. With flexible study options, including part-time and evening courses, you can enhance your career prospects by developing an in-depth understanding of the region, with the option of specialising in politics or business.",yes,year,,1,Australian Catholic University,Teacher of English to Speakers of Other Languages / Business Administration Manager / Corporate General Manager / Corporate Services Manager,,Australia,
6.5,yes,Master of Human Resources and Employment Relations,no,Tourism and Hotel Management,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-human-resources-and-employment-relations,Perth,IELTS,PG,English,no,AUD,"Postgraduate study in Human Resources and Employment Relations will provide you with a thorough theoretical and practical grounding in the management of people and employment in Australia and overseas.
This course is suitable for professionals working in the human resources and employment relations area who wish to extend and deepen their knowledge, and also for those wishing to move into the field.",yes,year,,1.5,Australian Catholic University,"Academic / Contract, Program and Project Administrators / Customer Service Manager / Human Resource Professional",,Australia,
6.5,yes,Doctor of Clinical Dentistry,no,Medical and Nursing,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-clinical-dentistry,Perth,IELTS,DPG,English,no,AUD,"Programs are offered in the following specialist areas (Dento-maxillofacial Radiology, Endodontics, Oral Medicine, Orthodontics, Periodontics, Prosthodontics and Paediatric Dentistry) and taught by experienced specialists in their field, subject to availability of places each year in a beginning of year or mid-year intake. The Oral Pathology Program will be offered subject to accreditation by the Australian Dental Council. On completion of the DClinDent program you'll be eligible for registration as a dental specialist with appropriate registration bodies in Australia and New Zealand. Our clinics and laboratories are equipped with state-of-the-art digital technologies including CBCT, CADCAM and 3dMD in addition to rotary endodontics and surgical microscopes and the latest research infrastructure.
 
 
",yes,year,,3,Australian Catholic University,Dentist,,Australia,
6.5,yes,Graduate Diploma in Infectious Diseases,no,Medical and Nursing,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-infectious-diseases,Perth,IELTS,PG,English,no,AUD,"This course provides advanced training in the field of infectious diseases including topics in Medical Microbiology, Tropical Infectious Diseases, and Public and Environmental Health Microbiology.",yes,year,,1,Australian Catholic University,Microbiologist / Laboratory Manager / Medical Scientist,,Australia,
6.5,yes,Graduate Diploma in Mental Health and Wellbeing in Education,no,English,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-mental-health-and-wellbeing-in-education,Perth,IELTS,PG,English,no,AUD,This course equips education professionals to address growing concerns about child and adolescent mental health.,yes,year,,1,Australian Catholic University,Early Childhood (Pre-primary School) Educator / Primary School Teacher / Secondary School Teacher / School Principal,,Australia,
6.5,yes,Master of Public Policy,no,Law,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-public-policy,Perth,IELTS,PG,English,no,AUD,"A successful government must design and implement policies that will further the economic, social and legal interests of its citizens. Students who study public policy are therefore driven to serve the public interest. They work in all levels of government, in the not-for-profit sector, in consulting firms and in international organisations. They can be social entrepreneurs, policy analysts, consultants to government or hold public office.",yes,year,,2,Australian Catholic University,Analyst / Business Administration Manager / Chief Executive / Chief Information Officer,,Australia,
6.5,yes,Master of Applied Finance,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-applied-finance,Perth,IELTS,PG,English,no,AUD,"Covering a wide range of applied finance topics, this specialised master’s course leads to careers in corporate banking and finance, stock market trading, insurance, investment management and other areas of applied finance.",yes,year,,1.5,Australian Catholic University,Analyst / Auditor / Corporate Treasurer / Credit and Loans Officer,,Australia,
6.5,yes,Graduate Certificate in Architectural Conservation,no,Computer Science & Information Technology,A,,yes,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-architectural-conservation,Perth,IELTS,PG,English,no,AUD,"This course is delivered by qualified and experienced conservation practitioners. If you are interested in entering or already working in architectural conservation, this course provides you with the opportunity to develop your knowledge and skills in this area.",yes,year,,1,Australian Catholic University,Architect / Conservation Officer / Landscape Architect / Urban Designer,,Australia,
6.5,yes,Graduate Diploma in Heritage Studies,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-heritage-studies,Perth,IELTS,PG,English,no,AUD,"The Graduate Diploma in Heritage Studies provides an overview of professional heritage practice and focuses on the classroom-based coursework section of the Master of Heritage Studies. This course aims to meet your training needs, in working with, caring for and sharing heritage.",yes,year,,1,Australian Catholic University,Academic / Anthropologist / Archaeologist / Archivist,,Australia,
6.5,yes,Master of Science Communication,no,Mass Communication & Media,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-science-communication,Perth,IELTS,PG,English,no,AUD,"Being able to transform scientific information into accessible, understandable knowledge for the public is the key business of a science communicator. Science communicators combine skills in written and verbal communication with their scientific knowledge. ",yes,year,,2,Australian Catholic University,Health Promotion Officer,,Australia,
6.5,yes,Master of Strategic Communication,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-strategic-communication,Perth,IELTS,PG,English,no,AUD,Develop expertise in designing and managing communication strategies and projects across a range of media platforms and professional contexts.  ,yes,year,,2,Australian Catholic University,Advertising Professional / Advertising and Public Relations Manager / Chief Information Officer / Journalist,,Australia,
6.5,yes,Master of International Relations,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-international-relations,Perth,IELTS,PG,English,no,AUD,"This professionallyoriented course offers you the opportunity to gain deep expertise ininternational relations, with particular focus on our dynamic Indo-Pacific and Indian Ocean regions. It prepares you for a rewarding career in foreign affairs and diplomacy, government, international and non-governmental organisations, the media and education. ",yes,year,,2,Australian Catholic University,Journalist / Foreign Affairs and Trade Officer / Intelligence Analyst / Parliamentarian,,Australia,
6.5,yes,Master of International Commercial Law,no,Law,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-international-commercial-law,Perth,IELTS,PG,English,no,AUD,"This course is suitable for those seeking opportunities where business and law meet, and is applicable to current law practitioners and those in other fields.",yes,year,,1,Australian Catholic University,Academic / Business Administration Manager / Chief Executive / Corporate General Manager,,Australia,
6.5,yes,Master of Commercial and Resources Law,no,Tourism and Hotel Management,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-commercial-and-resources-law,Perth,IELTS,PG,English,no,AUD,This course prepares both legal and non-legal professionals with the knowledge and skills needed for a future in the rapidly expanding resources sector.,yes,year,,1,Australian Catholic University,"Management Consultant / Contract, Program and Project Administrators / Corporate General Manager / Environmental Consultant",,Australia,
6.5,yes,Graduate Certificate in Asian Studies,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-asian-studies,Perth,IELTS,PG,English,no,AUD,"This course will give you the skills and knowledge crucial to understanding and engaging with the Asian region. With flexible study options, including part-time and evening courses, you can enhance your career prospects by developing an in-depth understanding of the region, with the option of specialising in politics or business.",yes,year,,1,Australian Catholic University,Teacher of English to Speakers of Other Languages / Business Administration Manager / Corporate General Manager / Corporate Services Manager,,Australia,
6.5,yes,Graduate Diploma in Urban Design,no,"Architecture, Building & Planning",A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-urban-design,Perth,IELTS,PG,English,no,AUD,Gain a comprehensive overview of the theoretical and practical aspects of urban design.,yes,year,,1,Australian Catholic University,Urban Designer,,Australia,
6.5,yes,Graduate Certificate in Sleep Science,no,Medical and Nursing,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-sleep-science,Perth,IELTS,PG,English,no,AUD,"The Graduate Certificate in Sleep Science provides you with core competencies to be a sleep technologist including an understanding of the history of sleep, its fundamental physiology and neurobiology, and the various technologies that sleep is monitored and interpreted.",yes,year,,1,Australian Catholic University,Laboratory Manager,,Australia,
6.5,yes,Master of Engineering in Oil and Gas,no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-engineering-in-oil-and-gas,Perth,IELTS,PG,English,no,AUD,"You’ll acquire a comprehensive skill set that will prepare you for employment or promotion across the oil and gas industry. Designed in collaboration with UWA’s industry partners, the course is synchronised with global energy trends, with a focus on natural gas extraction and liquefied natural gas (LNG) production. The course delivers both technical fundamentals, alongside experience with industry-leading engineering software (including Eclipse/Petrel, OLGA, Multiflash, and HYSYS).",yes,year,,1,Australian Catholic University,Chemical Engineer / Engineer,,Australia,
6.5,yes,Graduate Certificate in Health Leadership and Management,no,English,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-health-leadership-and-management,Perth,IELTS,PG,English,no,AUD,,yes,year,,1,Australian Catholic University,Health Researcher / Medical Administrator / Program or Project Manager,,Australia,
6.5,yes,Master of Business Administration (MBA) Intensive,no,Business & Commerce & Finance & Accounting,A,,no,,no,,yes,months,,https://www.uwa.edu.au/study/courses/master-of-business-administration-intensive,Perth,IELTS,PG,English,no,AUD,"In this accelerated program, our cohort-based MBA Intensive offers an accelerated course of study that will enhance your career prospects anywhere in the world. The strong leadership focus is tailor-made for the next generation of leaders and influencers.",yes,year,,18,Australian Catholic University,Accountant / Advertising Professional / Advertising and Public Relations Manager / Analyst,,Australia,
6.5,yes,Graduate Certificate in Population Health Studies,no,English,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-population-health-studies,Perth,IELTS,PG,English,no,AUD,This certificate course allows you maximum flexibility to tailor your studies in population health to meet your personal or professional interests and requirements.,yes,year,,1,Australian Catholic University,Health Promotion Officer / Policy Analyst / Program or Project Manager / Research Officer,,Australia,
6.5,yes,Master of Heritage Studies,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-heritage-studies,Perth,IELTS,PG,English,no,AUD,"Meet your research needs and increase your professional experience of heritage studies. Specialist heritage expertise is required by government, the business sector, community agencies, international organisations, museums, heritage agencies and national and provincial parks. Areas of specialisation include Indigenous or international heritage. Drawing on Australia's leadership and experience in developing socially engaged and responsible heritage practice, this postgraduate course covers all types of heritage and offers training in working with, caring for and sharing heritage. You will increase your knowledge in legislation, management, conservation, tourism, development, stewardship, sustainability, ethics and commodification.",yes,year,,2,Australian Catholic University,Academic / Anthropologist / Archaeologist / Archivist,,Australia,
6.5,yes,Graduate Diploma in Dental Public & Primary Health,no,English,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-dental-public--primary-health,Perth,IELTS,PG,English,no,AUD,"This graduate diploma is designed to be an appropriate broad-based course of study for a person who wishes to advance their knowledge of, but does not intend to pursue a career in, dental public and primary health.",yes,year,,1,Australian Catholic University,Social Policy Officer / Policy and Planning Manager / Dentist,,Australia,
6.5,yes,Master of Urban and Regional Planning,no,"Architecture, Building & Planning",A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-urban-and-regional-planning,Perth,IELTS,PG,English,no,AUD,"Become a critical thinker with rigorous skills in the pragmatic and theoretical art of landscape design and manipulation with a Master of Urban and Regional Planning. Learn from leaders in their fields with this course, which is accredited by Planning Institute Australia (PIA). ",yes,year,,1.5,Australian Catholic University,Policy Analyst / Policy and Planning Manager / Urban and Regional Planners,,Australia,
